Date,Opponent,Opponent Record,Result,Oberlin Shots,Opponent Shots,Oberlin Fouls,Opponent Fouls,Oberlin Goals,Opponent Goals,Passes Completed,Pass percentage,Conference,Home/Away
8/25/19,Capital,0.537,Win,5,7,5,12,2,1,409,85,No,Home 
8/30/19,John Carroll,0.826,Loss,5,20,10,9,2,3,221,77,No,Away
9/1/2019,Marietta,0.525,Loss,7,12,10,11,1,4,370,71,No,Home
9/4/2019,Otterbein,0.65,Loss,5,22,10,10,1,4,372,74,No,Away
9/7/2019,D'Youville,0.4,Win,27,12,9,11,6,2,504,84,No,Home
9/11/19,Grove City,0.44,Win,11,9,8,11,2,1,436,77,No,Home
9/14/19,Ohio Northern,0.659,Loss,6,18,9,11,0,4,324,77,No,Home
9/18/19,Baldwin Wallace,0.55,Win,15,8,13,4,2,1,438,75,No,Home
9/21/19,Heidelberg,0.265,Win,2,8,4,9,1,0,449,79,No,Home
9/25/19,Westminster College,0.75,Loss,19,9,8,10,2,3,484,86,No,Away
9/28/2019,Depauw University,0.583,Loss,13,11,9,12,1,2,405,83,Yes,Away
10/5/2019,Ohio Wesleyan University,0.708,Loss,9,16,11,12,0,5,403,84,Yes,Home
10/11/2019,Wittenberg University,0.316,Win,10,12,12,7,1,0,361,69,Yes,Away
10/16/2019,Allegheny College,0.25,Win,16,11,7,9,2,1,383,73,Yes,Home
10/19/2019,Hiram College,0.222,Win,12,9,5,12,2,1,403,74,Yes,Home
10/22/2019,Denison University,0.441,Loss,16,17,6,7,1,4,325,72,Yes,Away
10/26/2019,College of Wooster,0.333,Win,10,19,13,11,3,2,394,52,Yes,Away
10/30/2019,Kenyon College,0.87,Loss,10,25,13,10,1,5,297,68,Yes,Away
11/2/2019,Wabash College,0.605,Win,16,10,15,11,1,0,400,80,Yes,Home
9/1/2021,Grove City College,0.5,Win,9,4,12,12,4,1,444,80,No,Away
9/4/2021,Bethany College,0.553,Win,8,6,4,12,2,0,579,74,No,Away
9/7/2021,Capital University,0.537,Loss,10,19,12,16,0,5,413,84,No,Home 
9/10/2021,Spalding University,0.619,Draw,12,7,4,6,2,2,346,78,No,Away
9/11/2021,Centre College,0.632,Loss,6,14,5,11,1,2,299,73,No,Away
9/15/21,Otterbein,0.81,Loss,6,22,6,12,2,4,400,80,No,Home
9/18/21,Alma College,0.188,Loss,7,6,8,4,1,4,350,81,No,Away
9/22/21,Westminster College,0.571,Loss,14,9,12,14,0,2,410,80,No,Home
9/25/21,Depauw University,0.556,Win,13,10,8,8,2,1,387,77,Yes,Home
